id,date,mask,act_severity,act_msg,act_reason,act_formatted80,act_len
DTC-C01,"20240229","YYYYMMDD",0,0000,"Date is valid  ","0000Mesg Code: 0000 Date is valid   TstDate: 20240229   Mask used:YYYYMMDD      ",80
DTC-C02,"2024-02-29","YYYY-MM-DD",0,0000,"Date is valid  ","0000Mesg Code: 0000 Date is valid   TstDate: 2024-02-29 Mask used:YYYY-MM-DD    ",80
DTC-C03,"20240101  ","YYYYMMDD  ",0,0000,"Date is valid  ","0000Mesg Code: 0000 Date is valid   TstDate: 20240101   Mask used:YYYYMMDD      ",80
DTC-C04,"20231231","YYYYMMDD",0,0000,"Date is valid  ","0000Mesg Code: 0000 Date is valid   TstDate: 20231231   Mask used:YYYYMMDD      ",80
DTC-C05,"02292024","MMDDYYYY",0,0000,"Date is valid  ","0000Mesg Code: 0000 Date is valid   TstDate: 02292024   Mask used:MMDDYYYY      ",80
DTC-C06,"20240230","YYYYMMDD",3,2508,"Datevalue error","0003Mesg Code: 2508 Datevalue error TstDate: 20240230   Mask used:YYYYMMDD      ",80
DTC-C07,"20230229","YYYYMMDD",3,2508,"Datevalue error","0003Mesg Code: 2508 Datevalue error TstDate: 20230229   Mask used:YYYYMMDD      ",80
DTC-C08,"15000101","YYYYMMDD",3,2513,"Unsupp. Range  ","0003Mesg Code: 2513 Unsupp. Range   TstDate: 15000101   Mask used:YYYYMMDD      ",80
DTC-C09,"15821014","YYYYMMDD",3,2513,"Unsupp. Range  ","0003Mesg Code: 2513 Unsupp. Range   TstDate: 15821014   Mask used:YYYYMMDD      ",80
DTC-C10,"15821015","YYYYMMDD",0,0000,"Date is valid  ","0000Mesg Code: 0000 Date is valid   TstDate: 15821015   Mask used:YYYYMMDD      ",80
DTC-C11,"99991231","YYYYMMDD",0,0000,"Date is valid  ","0000Mesg Code: 0000 Date is valid   TstDate: 99991231   Mask used:YYYYMMDD      ",80
DTC-C12,"20241301","YYYYMMDD",3,2517,"Invalid month  ","0003Mesg Code: 2517 Invalid month   TstDate: 20241301   Mask used:YYYYMMDD      ",80
DTC-C13,"20240001","YYYYMMDD",3,2517,"Invalid month  ","0003Mesg Code: 2517 Invalid month   TstDate: 20240001   Mask used:YYYYMMDD      ",80
DTC-C14,"2024AB01","YYYYMMDD",3,2520,"Nonnumeric data","0003Mesg Code: 2520 Nonnumeric data TstDate: 2024AB01   Mask used:YYYYMMDD      ",80
DTC-C15,"          ","YYYYMMDD",3,2507,"Insufficient   ","0003Mesg Code: 2507 Insufficient    TstDate:            Mask used:YYYYMMDD      ",80
DTC-C16,"2024","YYYYMMDD",3,2507,"Insufficient   ","0003Mesg Code: 2507 Insufficient    TstDate: 2024       Mask used:YYYYMMDD      ",80
DTC-C17,"20240229","ZZZZ",3,2518,"Bad Pic String ","0003Mesg Code: 2518 Bad Pic String  TstDate: 20240229   Mask used:ZZZZ          ",80
DTC-C18,"20240100","YYYYMMDD",3,2508,"Datevalue error","0003Mesg Code: 2508 Datevalue error TstDate: 20240100   Mask used:YYYYMMDD      ",80
DTC-C19,"20240432","YYYYMMDD",3,2508,"Datevalue error","0003Mesg Code: 2508 Datevalue error TstDate: 20240432   Mask used:YYYYMMDD      ",80
