id,req,date,mask,exp_severity,exp_msg,exp_reason,exp_formatted80,source,confidence,cite
DTC-C01,FR-23/DTC-01,20240229,YYYYMMDD,0,0000,Date is valid  ,0000Mesg Code: 0000 Date is valid   TstDate: 20240229   Mask used:YYYYMMDD      ,FR-derived,HIGH (FACT :88-100 :105-130 :42-57),CSUTLDTC.cbl:129-130
DTC-C02,FR-23/DTC-01,2024-02-29,YYYY-MM-DD,0,0000,Date is valid  ,0000Mesg Code: 0000 Date is valid   TstDate: 2024-02-29 Mask used:YYYY-MM-DD    ,FR-derived,HIGH (layout FACT; separator picture accepted by CEEDAYS = INFERRED),CSUTLDTC.cbl:109-113
DTC-C03,FR-23/DTC-01,20240101  ,YYYYMMDD  ,0,0000,Date is valid  ,0000Mesg Code: 0000 Date is valid   TstDate: 20240101   Mask used:YYYYMMDD      ,mock (X(10) padding),HIGH (linkage FACT :84-85; blank tolerance INFERRED),CSUTLDTC.cbl:84-85 :105-113
DTC-C04,FR-23/DTC-01,20231231,YYYYMMDD,0,0000,Date is valid  ,0000Mesg Code: 0000 Date is valid   TstDate: 20231231   Mask used:YYYYMMDD      ,mock,HIGH,CSUTLDTC.cbl:129-130
DTC-C05,FR-23/DTC-01,02292024,MMDDYYYY,0,0000,Date is valid  ,0000Mesg Code: 0000 Date is valid   TstDate: 02292024   Mask used:MMDDYYYY      ,mock,MEDIUM (MMDDYYYY is a documented CEEDAYS picture; INFERRED),CSUTLDTC.cbl:109-113
DTC-C06,FR-24/DTC-02,20240230,YYYYMMDD,3,2508,Datevalue error,0003Mesg Code: 2508 Datevalue error TstDate: 20240230   Mask used:YYYYMMDD      ,FR-derived,severity HIGH; code INFERRED (D-0028),CSUTLDTC.cbl:133-134
DTC-C07,FR-24/DTC-02,20230229,YYYYMMDD,3,2508,Datevalue error,0003Mesg Code: 2508 Datevalue error TstDate: 20230229   Mask used:YYYYMMDD      ,mock (non-leap 29 Feb),severity HIGH; code INFERRED,CSUTLDTC.cbl:133-134
DTC-C08,FR-24/DTC-02 contractual,15000101,YYYYMMDD,3,2513,Unsupp. Range  ,0003Mesg Code: 2513 Unsupp. Range   TstDate: 15000101   Mask used:YYYYMMDD      ,FR-derived,HIGH (contractual; callers branch on 2513 COTRN02C.cbl:398-401),CSUTLDTC.cbl:137-138
DTC-C09,FR-24/DTC-02 boundary,15821014,YYYYMMDD,3,2513,Unsupp. Range  ,0003Mesg Code: 2513 Unsupp. Range   TstDate: 15821014   Mask used:YYYYMMDD      ,mock (day before Lilian epoch),INFERRED (A-DTC-3),CSUTLDTC.cbl:137-138
DTC-C10,FR-23 boundary,15821015,YYYYMMDD,0,0000,Date is valid  ,0000Mesg Code: 0000 Date is valid   TstDate: 15821015   Mask used:YYYYMMDD      ,mock (Lilian day 1),INFERRED (A-DTC-3),CSUTLDTC.cbl:129-130
DTC-C11,FR-23 boundary,99991231,YYYYMMDD,0,0000,Date is valid  ,0000Mesg Code: 0000 Date is valid   TstDate: 99991231   Mask used:YYYYMMDD      ,mock (upper Lilian bound),INFERRED (A-DTC-3),CSUTLDTC.cbl:129-130
DTC-C12,FR-24/DTC-02,20241301,YYYYMMDD,3,2517,Invalid month  ,0003Mesg Code: 2517 Invalid month   TstDate: 20241301   Mask used:YYYYMMDD      ,FR-derived,severity HIGH; code INFERRED,CSUTLDTC.cbl:139-140
DTC-C13,FR-24/DTC-02,20240001,YYYYMMDD,3,2517,Invalid month  ,0003Mesg Code: 2517 Invalid month   TstDate: 20240001   Mask used:YYYYMMDD      ,mock (month 00),severity HIGH; code INFERRED,CSUTLDTC.cbl:139-140
DTC-C14,FR-24/DTC-02,2024AB01,YYYYMMDD,3,2520,Nonnumeric data,0003Mesg Code: 2520 Nonnumeric data TstDate: 2024AB01   Mask used:YYYYMMDD      ,FR-derived,severity HIGH; code INFERRED,CSUTLDTC.cbl:143-144
DTC-C15,FR-24/DTC-02,          ,YYYYMMDD,3,2507,Insufficient   ,0003Mesg Code: 2507 Insufficient    TstDate:            Mask used:YYYYMMDD      ,FR-derived (blank X(10)),severity HIGH; code INFERRED,CSUTLDTC.cbl:131-132
DTC-C16,FR-24/DTC-02,2024,YYYYMMDD,3,2507,Insufficient   ,0003Mesg Code: 2507 Insufficient    TstDate: 2024       Mask used:YYYYMMDD      ,mock (short input),severity HIGH; code INFERRED,CSUTLDTC.cbl:131-132
DTC-C17,FR-24/DTC-02,20240229,ZZZZ,3,2518,Bad Pic String ,0003Mesg Code: 2518 Bad Pic String  TstDate: 20240229   Mask used:ZZZZ          ,FR-derived,severity HIGH; code INFERRED,CSUTLDTC.cbl:141-142
DTC-C18,FR-24/DTC-02,20240100,YYYYMMDD,3,2508,Datevalue error,0003Mesg Code: 2508 Datevalue error TstDate: 20240100   Mask used:YYYYMMDD      ,mock (day 00),severity HIGH; code INFERRED,CSUTLDTC.cbl:133-134
DTC-C19,FR-24/DTC-02,20240432,YYYYMMDD,3,2508,Datevalue error,0003Mesg Code: 2508 Datevalue error TstDate: 20240432   Mask used:YYYYMMDD      ,mock (day 32),severity HIGH; code INFERRED,CSUTLDTC.cbl:133-134
